"","cl1","cl2","cl3","cl4"
"ACN9",-0.00283368942374039,-0.00473519661994948,-0.00920283833801388,-0.0136431302400201
"ACO1",0.000292543520654979,-0.00477064838220223,-0.00938704203063194,-0.00211341700401526
"ACO2",0.00104282385752688,-0.00707414367521727,-0.0125873897378608,-0.00543298722119348
"ACOT11",-0.00596364292721295,0.00229890552352113,-0.00759600268514397,0.00181106852845825
"ACOT13",-0.00426426644258185,0.000480400618559306,-0.011892799648808,-0.00753090649746645
"ACOT7",0.000825829627683757,-0.011318852990127,0.00600191192497179,-0.0113452867370964
"ACOT8",-0.00810466621062724,0.00640509125362674,-0.00145378994673965,-0.0105147944385384
"ACOT9",0.00116506470929552,0.000227306395198035,0.0035579981587044,-0.00853413508362537
"ACOX1",-0.00554419686076309,0.00949481819642052,-0.00676268534328985,-0.00607186559759845
"ACOX2",-0.0080462801485556,0.0156082619301383,-0.0161600556222427,0.00128605509444911
"ACP1",-0.00185457140560215,-0.00413069189636614,-0.00168578765066292,-0.012174894405163
"ACP2",0.00613121330849719,-0.00263682921355272,0.000442324463906445,0.000144696875675973
"ACP5",0.0134729716611015,0.00109204740436609,0.00626455517447024,-0.00733516613914035
"ACP6",-0.00297938355396985,-0.00443784854515706,-0.00264235238018724,0.00157967591390069
"ACPP",0.00367202075884044,-0.0155087391887985,-0.0169213992917668,0.00226724257960601
"ACR",-0.00917252660951647,0.00861196994402792,-0.002287011646165,0.00511303860278013
"ACRV1",-0.00244935002122226,0.00186849865257248,0.00221775954491736,0.00461632236963353
"ACSBG1",-0.00271739758300809,0.0020046854974255,0.000534139980790768,0.00258064008509734
"ACSBG2",-0.00391944983646598,0.00338945666153883,0.00220500741121063,0.00361188194655718
"ACSL3",-0.000989147892590608,-0.00540120237864529,-0.00130616802623277,-0.0113237859373609
"ACSL4",0.00142864751349603,0.00390939950113235,0.0059307700830216,-0.0134928810916427
"ACSL5",-0.00994501156888448,0.00858921560906535,-0.0106118495329885,-0.00833511602816133
"ACSL6",-0.0232216145735222,0.0409587326825257,0.00100513827138389,-0.0101779045616634
"ACSM3",-0.00381515417143867,-0.00432503835207851,-0.0218641072252844,0.000211542933256171
"ACSM5",-0.0019226912933793,0.0058223648562139,0.00224570457383327,0.00670091623861932
"ACTA1",-0.00136504229255816,0.000447106952606141,-0.000915596329567329,-2.04635686024258e-06
"ACTA2",0.019416714417051,0.0188135373435004,-0.00269190543809881,-0.00587431535310343
"ACTB",0.0025408196782023,-0.00140741472220584,-0.000705442177860177,-0.00384462890588897
"ACTC1",0.00522846918847302,0.00623881374779971,0.00197427479219483,-0.00191892698124612
"ACTG2",0.0161277382042952,0.0243554994619874,-0.0116100390595782,-0.00691316457023438
